k,score_mode,threshold_source_mode,gaussian_sigma_tubelets,threshold_percentile,threshold_key,threshold_value,normal_test_tubelets,false_alarm_tubelets_before_persistence,false_alarm_rate_percent_before_persistence,max_false_alarm_streak_before_persistence,persistence_window,persistence_required_hits,min_event_gap_sec,false_alarm_events_after_persistence
1,raw,raw,,95.0,p95,0.11088640242815018,5770,167,2.8942807625649913,10,5,3,5.0,34
1,raw,raw,,97.5,p97_5,0.12211225181818008,5770,87,1.5077989601386481,4,5,3,5.0,14
1,raw,raw,,99.0,p99,0.13822686672210693,5770,38,0.658578856152513,2,5,3,5.0,3
1,raw,raw,,99.5,p99_5,0.15024296939373016,5770,17,0.29462738301559793,2,5,3,5.0,1
1,raw,raw,,99.7,p99_7,0.1562396138906479,5770,8,0.1386481802426343,1,5,3,5.0,0
1,raw,raw,,99.9,p99_9,0.16473491489887238,5770,4,0.06932409012131716,1,5,3,5.0,0
1,gaussian_sigma_1,gaussian_sigma_1,1.0,95.0,p95,0.10150090944240453,5770,228,3.951473136915078,29,5,3,5.0,62
1,gaussian_sigma_1,gaussian_sigma_1,1.0,97.5,p97_5,0.11213207718269803,5770,121,2.097053726169844,13,5,3,5.0,38
1,gaussian_sigma_1,gaussian_sigma_1,1.0,99.0,p99,0.1220543276420907,5770,52,0.901213171577123,5,5,3,5.0,13
1,gaussian_sigma_1,gaussian_sigma_1,1.0,99.5,p99_5,0.12725111917303236,5770,31,0.537261698440208,5,5,3,5.0,9
1,gaussian_sigma_1,gaussian_sigma_1,1.0,99.7,p99_7,0.1324033252684063,5770,21,0.36395147313691506,3,5,3,5.0,6
1,gaussian_sigma_1,gaussian_sigma_1,1.0,99.9,p99_9,0.13968394187232303,5770,7,0.12131715771230503,1,5,3,5.0,0
1,gaussian_sigma_2,gaussian_sigma_2,2.0,95.0,p95,0.09821959298822278,5770,232,4.020797227036395,45,5,3,5.0,72
1,gaussian_sigma_2,gaussian_sigma_2,2.0,97.5,p97_5,0.10767764837049791,5770,139,2.4090121317157713,27,5,3,5.0,38
1,gaussian_sigma_2,gaussian_sigma_2,2.0,99.0,p99,0.11669759375712557,5770,80,1.3864818024263432,14,5,3,5.0,24
1,gaussian_sigma_2,gaussian_sigma_2,2.0,99.5,p99_5,0.12133572556038741,5770,48,0.8318890814558059,9,5,3,5.0,11
1,gaussian_sigma_2,gaussian_sigma_2,2.0,99.7,p99_7,0.1269203679842909,5770,22,0.38128249566724437,6,5,3,5.0,4
1,gaussian_sigma_2,gaussian_sigma_2,2.0,99.9,p99_9,0.13247596588242921,5770,12,0.20797227036395147,2,5,3,5.0,2
1,gaussian_sigma_3,gaussian_sigma_3,3.0,95.0,p95,0.09622387432164842,5770,251,4.350086655112651,47,5,3,5.0,91
1,gaussian_sigma_3,gaussian_sigma_3,3.0,97.5,p97_5,0.10600173963618462,5770,149,2.582322357019064,32,5,3,5.0,41
1,gaussian_sigma_3,gaussian_sigma_3,3.0,99.0,p99,0.11425690059335286,5770,97,1.681109185441941,25,5,3,5.0,28
1,gaussian_sigma_3,gaussian_sigma_3,3.0,99.5,p99_5,0.11911932389335503,5770,55,0.9532062391681109,20,5,3,5.0,14
1,gaussian_sigma_3,gaussian_sigma_3,3.0,99.7,p99_7,0.12324647296700518,5770,32,0.5545927209705372,10,5,3,5.0,6
1,gaussian_sigma_3,gaussian_sigma_3,3.0,99.9,p99_9,0.12925142720303803,5770,14,0.24263431542461006,5,5,3,5.0,2
3,raw,raw,,95.0,p95,0.11577531695365906,5770,161,2.7902946273830156,9,5,3,5.0,29
3,raw,raw,,97.5,p97_5,0.12839914858341217,5770,82,1.4211438474870017,7,5,3,5.0,11
3,raw,raw,,99.0,p99,0.14426827430725098,5770,36,0.6239168110918544,2,5,3,5.0,2
3,raw,raw,,99.5,p99_5,0.15622875094413757,5770,15,0.25996533795493937,2,5,3,5.0,1
3,raw,raw,,99.7,p99_7,0.16101986169815063,5770,9,0.1559792027729636,1,5,3,5.0,0
3,raw,raw,,99.9,p99_9,0.16749735176563263,5770,4,0.06932409012131716,1,5,3,5.0,0
3,gaussian_sigma_1,gaussian_sigma_1,1.0,95.0,p95,0.10639355897647518,5770,228,3.951473136915078,31,5,3,5.0,60
3,gaussian_sigma_1,gaussian_sigma_1,1.0,97.5,p97_5,0.11698434864013631,5770,117,2.027729636048527,10,5,3,5.0,37
3,gaussian_sigma_1,gaussian_sigma_1,1.0,99.0,p99,0.12838935813878208,5770,41,0.7105719237435009,6,5,3,5.0,10
3,gaussian_sigma_1,gaussian_sigma_1,1.0,99.5,p99_5,0.13293724511642713,5770,30,0.5199306759098787,5,5,3,5.0,8
3,gaussian_sigma_1,gaussian_sigma_1,1.0,99.7,p99_7,0.13780810430649526,5770,18,0.3119584055459272,3,5,3,5.0,3
3,gaussian_sigma_1,gaussian_sigma_1,1.0,99.9,p99_9,0.14584890397416075,5770,5,0.08665511265164645,1,5,3,5.0,0
3,gaussian_sigma_2,gaussian_sigma_2,2.0,95.0,p95,0.10255085792721887,5770,242,4.194107452339688,48,5,3,5.0,78
3,gaussian_sigma_2,gaussian_sigma_2,2.0,97.5,p97_5,0.11324238198207864,5770,134,2.3223570190641247,29,5,3,5.0,33
3,gaussian_sigma_2,gaussian_sigma_2,2.0,99.0,p99,0.12343650241320603,5770,59,1.022530329289428,10,5,3,5.0,17
3,gaussian_sigma_2,gaussian_sigma_2,2.0,99.5,p99_5,0.1297495542327288,5770,27,0.4679376083188908,6,5,3,5.0,5
3,gaussian_sigma_2,gaussian_sigma_2,2.0,99.7,p99_7,0.13064446538075233,5770,26,0.4506065857885615,6,5,3,5.0,5
3,gaussian_sigma_2,gaussian_sigma_2,2.0,99.9,p99_9,0.13879759826975038,5770,10,0.1733102253032929,4,5,3,5.0,2
3,gaussian_sigma_3,gaussian_sigma_3,3.0,95.0,p95,0.10099211420509432,5770,248,4.298093587521664,49,5,3,5.0,81
3,gaussian_sigma_3,gaussian_sigma_3,3.0,97.5,p97_5,0.11150703690887542,5770,141,2.4436741767764296,30,5,3,5.0,38
3,gaussian_sigma_3,gaussian_sigma_3,3.0,99.0,p99,0.1213243675357918,5770,67,1.1611785095320624,21,5,3,5.0,17
3,gaussian_sigma_3,gaussian_sigma_3,3.0,99.5,p99_5,0.12710268722448048,5770,31,0.537261698440208,6,5,3,5.0,5
