tubelet_id,video_id,track_id,jsonl_line_no,reason,detail
homography_macro__20260317_112759_tp00049.mp4__track4956__t33984_34074__00011499,20260317_112759_tp00049.mp4,4956,11500,ValueError,valid_step_ratio too low: 0.400
homography_macro__20260329_140358_tp00074.mp4__track697__t19824_19914__00017665,20260329_140358_tp00074.mp4,697,17666,ValueError,valid_step_ratio too low: 0.733
homography_macro__20260329_140358_tp00074.mp4__track697__t19920_20010__00017667,20260329_140358_tp00074.mp4,697,17668,ValueError,valid_step_ratio too low: 0.733
homography_macro__20260329_140358_tp00074.mp4__track721__t20640_20730__00017680,20260329_140358_tp00074.mp4,721,17681,ValueError,valid_step_ratio too low: 0.733
homography_macro__20260329_140358_tp00074.mp4__track721__t20688_20778__00017681,20260329_140358_tp00074.mp4,721,17682,ValueError,valid_step_ratio too low: 0.733
homography_macro__20260329_140358_tp00074.mp4__track721__t20976_21066__00017687,20260329_140358_tp00074.mp4,721,17688,ValueError,valid_step_ratio too low: 0.667
homography_macro__20260329_140358_tp00074.mp4__track721__t21312_21402__00017693,20260329_140358_tp00074.mp4,721,17694,ValueError,valid_step_ratio too low: 0.600
homography_macro__20260329_140358_tp00074.mp4__track959__t26688_26778__00017745,20260329_140358_tp00074.mp4,959,17746,ValueError,valid_step_ratio too low: 0.600
homography_macro__20260329_140358_tp00074.mp4__track959__t26784_26874__00017747,20260329_140358_tp00074.mp4,959,17748,ValueError,valid_step_ratio too low: 0.667
homography_macro__20260329_140358_tp00074.mp4__track959__t28224_28332__00017777,20260329_140358_tp00074.mp4,959,17778,ValueError,valid_step_ratio too low: 0.733
homography_macro__20260329_140358_tp00074.mp4__track959__t28272_28362__00017778,20260329_140358_tp00074.mp4,959,17779,ValueError,valid_step_ratio too low: 0.733
homography_macro__20260329_140358_tp00074.mp4__track1350__t33696_33786__00017893,20260329_140358_tp00074.mp4,1350,17894,ValueError,valid_step_ratio too low: 0.600
