tubelet_id,video_id,track_id,video_path,start_frame,end_frame,start_time_sec,end_time_sec,source_fps,effective_sample_fps,split,macro_speed_mean_mps,macro_speed_median_mps,macro_speed_p95_mps,macro_accel_p95_mps2,macro_straightness_ratio,macro_direction_change_mean_rad,macro_stationary_step_ratio,macro_score_raw,macro_score_smooth,macro_gate_hit
homography_macro__20260315_130536_tp00036.mp4__track770__t4608_4698__00002554,20260315_130536_tp00036.mp4,770,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,4608,4698,322.553305796136,328.8531750499667,14.286010768441496,2.381001794740249,normal_test,0.6607768,0.31962627,2.1927743,2.8607743,0.45174593,0.36737445,0.0,23.841558675084848,23.841558675084848,True
homography_macro__20260329_140358_tp00074.mp4__track1138__t30480_30630__00017821,20260329_140358_tp00074.mp4,1138,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,30480,30630,2133.6008498748038,2144.100854057258,14.28570859530194,2.380951432550323,normal_test,0.48021293,0.07985701,1.433695,1.1228247,0.057872202,1.123681,0.33333334,22.885671836948177,22.885671836948177,True
homography_macro__20260329_140358_tp00074.mp4__track180__t7680_7770__00017601,20260329_140358_tp00074.mp4,180,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,7680,7770,537.6002141416827,543.9002166511556,14.28570859530194,2.380951432550323,normal_test,1.0556672,0.5666142,2.515587,5.188339,0.22260587,0.90136606,0.14285715,22.728627709687164,22.728627709687164,True
homography_macro__20260329_140358_tp00074.mp4__track1285__t32400_32490__00017862,20260329_140358_tp00074.mp4,1285,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,32400,32490,2268.000903410224,2274.300905919697,14.28570859530194,2.380951432550323,normal_test,0.87280315,0.4315313,2.5751684,4.976998,0.05049351,1.5058284,0.21428572,21.26207445301586,21.32998327449895,True
homography_macro__20260329_140358_tp00074.mp4__track35__t2304_2394__00017568,20260329_140358_tp00074.mp4,35,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,2304,2394,161.2800642425048,167.58006675197765,14.28570859530194,2.380951432550323,normal_test,1.0839722,0.4392476,2.7167175,4.3910666,0.1746987,0.9518077,0.14285715,28.159001925337837,19.086788634331214,True
homography_macro__20260329_140358_tp00074.mp4__track1285__t32448_32562__00017863,20260329_140358_tp00074.mp4,1285,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,32448,32562,2271.3609047486098,2279.340907927275,14.28570859530194,2.380951432550323,normal_test,0.59813386,0.043150265,2.711252,1.4287038,0.69116294,1.173999,0.53333336,44.03545531336658,18.769755033949206,True
homography_macro__20260329_140358_tp00074.mp4__track697__t19680_19770__00017662,20260329_140358_tp00074.mp4,697,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,19680,19770,1377.600548738062,1383.9005512475348,14.28570859530194,2.380951432550323,normal_test,0.43602765,0.04362551,2.100507,2.3566482,0.78549325,0.7338482,0.5714286,22.388044279525726,17.644244842221937,True
homography_macro__20260315_130536_tp00036.mp4__track4915__t27648_27738__00003318,20260315_130536_tp00036.mp4,4915,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,27648,27738,1935.3198347768157,1941.6197040306463,14.286010768441496,2.381001794740249,normal_test,0.88983107,0.5072978,2.3171701,3.6941833,0.79255956,0.6733435,0.06666667,17.329924723930766,17.329924723930766,True
homography_macro__20260317_101644_tp00048.mp4__track918__t26064_26160__00009414,20260317_101644_tp00048.mp4,918,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,26064,26160,1824.4721847645249,1831.192155979127,14.2857754794239,2.3809625799039837,normal_test,0.32851616,0.08525644,1.5248038,1.9503388,0.907118,0.24458157,0.33333334,19.925878936788823,17.11755824250848,True
homography_macro__20260315_130536_tp00036.mp4__track2905__t17808_17970__00003007,20260315_130536_tp00036.mp4,2905,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,17808,17970,1246.5341296913168,1257.8738943482124,14.286010768441496,2.381001794740249,normal_test,0.1804738,0.049536556,0.7702112,0.76294255,0.026366826,0.9776003,0.53333336,18.788076511293198,17.089957187882764,True
