components,converged,n_iter,bic_train,aic_train,threshold_percentile,threshold,train_score_mean,train_score_p95,train_score_p995,calib_score_mean,calib_score_p95,calib_score_p995,normal_test_score_mean,normal_test_score_p95,normal_test_score_p995,calib_false_alarm_tubelets_before_persistence,calib_false_alarm_rate_before_persistence,calib_false_alarm_tubelets_after_smoothing,calib_false_alarm_rate_after_smoothing,calib_false_alarm_tubelets_after_persistence,calib_false_alarm_rate_after_persistence,calib_false_alarm_events_after_persistence,normal_test_tubelets,normal_test_videos,normal_test_tracks,normal_test_false_alarm_tubelets_before_persistence,normal_test_false_alarm_rate_before_persistence,normal_test_false_alarm_tubelets_after_smoothing,normal_test_false_alarm_rate_after_smoothing,normal_test_false_alarm_tubelets_after_persistence,normal_test_false_alarm_rate_after_persistence,normal_test_false_alarm_events_after_persistence,verdict
1,True,2,890289.2825293625,886232.3140398782,95.0,53.28282716093404,16.52002974731979,46.288299856351614,268.50755138859284,16.90053928480834,53.28282716093404,178.5388467053037,20.096736225444996,56.10137197643736,295.1956298381971,456,0.050082372322899506,425,0.046677649643053265,280,0.030752333882482153,68,11956,7,527,640,0.05352960856473737,654,0.054700568752091,501,0.04190364670458347,114,needs_tuning_or_visual_review
2,True,12,339232.24585035467,331110.11297544785,95.0,36.779829095261704,6.142054136816479,34.15322977375656,125.47561796024618,8.194770369003994,36.779829095261704,87.32214920098335,9.306185005321785,39.30406466887344,142.9866417501326,456,0.050082372322899506,377,0.0414058209774849,243,0.026688632619439868,62,11956,7,527,696,0.05821344931415189,625,0.05227500836400134,470,0.03931080628972901,115,needs_tuning_or_visual_review
3,True,26,44638.65425833722,32451.356998007803,95.0,35.60700795941087,0.5500943716270631,34.19030629924326,85.92404404928699,2.6308547107242592,35.60700795941087,65.52721803771243,3.126679405824751,37.37896269512345,96.15639218912793,456,0.050082372322899506,302,0.03316858868753432,176,0.019330038440417353,48,11956,7,527,698,0.0583807293409167,517,0.043241886918701906,364,0.03044496487119438,88,needs_tuning_or_visual_review
5,True,35,-228786.4535360504,-249104.07956722498,95.0,37.89069165896422,-4.741202544829339,35.77323405022356,64.85483744606836,-1.8975348042611064,37.89069165896422,56.37553239948739,-3.4283917310001004,38.582264836988486,69.81495051186684,456,0.050082372322899506,210,0.023064250411861616,108,0.01186161449752883,32,11956,7,527,655,0.0547842087654734,304,0.02542656406825025,177,0.01480428236868518,55,needs_tuning_or_visual_review
8,True,29,-403711.8634635372,-436224.98265097954,95.0,33.168735926695206,-8.288713146175859,30.727563494362673,57.65719982714432,-5.482532596718429,33.168735926695206,57.955531828500796,-9.70253656901409,30.888036379635587,74.81588206298021,456,0.050082372322899506,258,0.028336079077429983,138,0.015156507413509062,41,11956,7,527,503,0.042070926731348275,300,0.025092004014720642,189,0.015807962529274005,60,needs_tuning_or_visual_review
10,True,74,-487449.1940720733,-528092.6420303609,95.0,33.79615994592123,-10.040134401342904,29.234597057207882,52.51203564747593,-7.968437627824029,33.79615994592123,55.92417953053325,-12.382284606888383,32.85083357615734,65.91170209981196,456,0.050082372322899506,230,0.025260845689181768,115,0.012630422844590884,39,11956,7,527,562,0.04700568752091,265,0.022164603546336568,154,0.01288056206088993,49,needs_tuning_or_visual_review
1,True,2,890289.2825293625,886232.3140398782,97.5,78.34338052670113,16.52002974731979,46.288299856351614,268.50755138859284,16.90053928480834,53.28282716093404,178.5388467053037,20.096736225444996,56.10137197643736,295.1956298381971,228,0.025041186161449753,184,0.020208676551345416,127,0.013948380010982976,35,11956,7,527,364,0.03044496487119438,350,0.02927400468384075,261,0.02183004349280696,65,needs_tuning_or_visual_review
2,True,12,339232.24585035467,331110.11297544785,97.5,47.179164911293675,6.142054136816479,34.15322977375656,125.47561796024618,8.194770369003994,36.779829095261704,87.32214920098335,9.306185005321785,39.30406466887344,142.9866417501326,228,0.025041186161449753,164,0.01801208127402526,108,0.01186161449752883,31,11956,7,527,394,0.032954165272666446,352,0.029441284710605555,253,0.02116092338574774,63,needs_tuning_or_visual_review
3,True,26,44638.65425833722,32451.356998007803,97.5,42.85128388875656,0.5500943716270631,34.19030629924326,85.92404404928699,2.6308547107242592,35.60700795941087,65.52721803771243,3.126679405824751,37.37896269512345,96.15639218912793,228,0.025041186161449753,126,0.013838550247116969,77,0.008456891817682591,23,11956,7,527,392,0.03278688524590164,287,0.024004683840749413,201,0.01681164268986283,56,needs_tuning_or_visual_review
5,True,35,-228786.4535360504,-249104.07956722498,97.5,42.77644463172736,-4.741202544829339,35.77323405022356,64.85483744606836,-1.8975348042611064,37.89069165896422,56.37553239948739,-3.4283917310001004,38.582264836988486,69.81495051186684,228,0.025041186161449753,89,0.009774848984074684,39,0.0042833607907743,13,11956,7,527,373,0.031197724991636,177,0.01480428236868518,103,0.00861492137838742,32,needs_tuning_or_visual_review
8,True,29,-403711.8634635372,-436224.98265097954,97.5,39.96487783911566,-8.288713146175859,30.727563494362673,57.65719982714432,-5.482532596718429,33.168735926695206,57.955531828500796,-9.70253656901409,30.888036379635587,74.81588206298021,228,0.025041186161449753,93,0.010214168039538715,40,0.004393190554640308,13,11956,7,527,297,0.024841083974573436,171,0.014302442288390766,99,0.008280361324857812,32,needs_tuning_or_visual_review
10,True,74,-487449.1940720733,-528092.6420303609,97.5,39.705160008208175,-10.040134401342904,29.234597057207882,52.51203564747593,-7.968437627824029,33.79615994592123,55.92417953053325,-12.382284606888383,32.85083357615734,65.91170209981196,228,0.025041186161449753,97,0.010653487095002745,42,0.004612850082372323,15,11956,7,527,312,0.02609568417530947,140,0.0117096018735363,79,0.0066075610572097696,29,needs_tuning_or_visual_review
1,True,2,890289.2825293625,886232.3140398782,99.0,129.59148846917512,16.52002974731979,46.288299856351614,268.50755138859284,16.90053928480834,53.28282716093404,178.5388467053037,20.096736225444996,56.10137197643736,295.1956298381971,92,0.010104338275672708,44,0.004832509610104338,25,0.0027457440966501922,7,11956,7,527,188,0.015724322515891603,162,0.013549682167949146,118,0.009869521579123453,31,needs_tuning_or_visual_review
