===== GPU BOARD 2026-06-18 14:57:35 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:35.152, NVIDIA GeForce RTX 5090 Laptop GPU, 0 %, 14582 MiB, 24463 MiB, 44, 5.02 W
===== GPU BOARD 2026-06-18 14:57:37 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:37.210, NVIDIA GeForce RTX 5090 Laptop GPU, 0 %, 14580 MiB, 24463 MiB, 44, 5.78 W
===== GPU BOARD 2026-06-18 14:57:39 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:39.279, NVIDIA GeForce RTX 5090 Laptop GPU, 0 %, 14580 MiB, 24463 MiB, 44, 5.59 W
===== GPU BOARD 2026-06-18 14:57:41 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:41.338, NVIDIA GeForce RTX 5090 Laptop GPU, 0 %, 14537 MiB, 24463 MiB, 45, 11.52 W
===== GPU BOARD 2026-06-18 14:57:43 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:43.397, NVIDIA GeForce RTX 5090 Laptop GPU, 0 %, 14554 MiB, 24463 MiB, 45, 11.34 W
===== GPU BOARD 2026-06-18 14:57:45 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:45.455, NVIDIA GeForce RTX 5090 Laptop GPU, 0 %, 14554 MiB, 24463 MiB, 44, 6.77 W
===== GPU BOARD 2026-06-18 14:57:47 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:47.514, NVIDIA GeForce RTX 5090 Laptop GPU, 0 %, 14554 MiB, 24463 MiB, 44, 4.86 W
===== GPU BOARD 2026-06-18 14:57:49 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:49.574, NVIDIA GeForce RTX 5090 Laptop GPU, 0 %, 14554 MiB, 24463 MiB, 44, 4.19 W
===== GPU BOARD 2026-06-18 14:57:51 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:51.660, NVIDIA GeForce RTX 5090 Laptop GPU, 12 %, 14554 MiB, 24463 MiB, 45, 8.56 W
===== GPU BOARD 2026-06-18 14:57:53 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:53.718, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14554 MiB, 24463 MiB, 45, 8.49 W
===== GPU BOARD 2026-06-18 14:57:55 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:55.775, NVIDIA GeForce RTX 5090 Laptop GPU, 25 %, 14554 MiB, 24463 MiB, 45, 8.60 W
===== GPU BOARD 2026-06-18 14:57:57 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:57.836, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14554 MiB, 24463 MiB, 45, 8.44 W
===== GPU BOARD 2026-06-18 14:57:59 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:57:59.900, NVIDIA GeForce RTX 5090 Laptop GPU, 25 %, 14554 MiB, 24463 MiB, 45, 8.61 W
===== GPU BOARD 2026-06-18 14:58:01 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:01.965, NVIDIA GeForce RTX 5090 Laptop GPU, 7 %, 14554 MiB, 24463 MiB, 45, 8.08 W
===== GPU BOARD 2026-06-18 14:58:03 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:04.024, NVIDIA GeForce RTX 5090 Laptop GPU, 21 %, 14554 MiB, 24463 MiB, 45, 8.77 W
===== GPU BOARD 2026-06-18 14:58:06 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:06.086, NVIDIA GeForce RTX 5090 Laptop GPU, 16 %, 14554 MiB, 24463 MiB, 45, 8.48 W
===== GPU BOARD 2026-06-18 14:58:08 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:08.143, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14554 MiB, 24463 MiB, 45, 8.43 W
===== GPU BOARD 2026-06-18 14:58:10 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:10.201, NVIDIA GeForce RTX 5090 Laptop GPU, 0 %, 14554 MiB, 24463 MiB, 45, 8.48 W
===== GPU BOARD 2026-06-18 14:58:12 =====
