===== GPU COMPUTE APPS 2026-06-18 14:57:35 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:37 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:39 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:41 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:43 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:45 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:47 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:49 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:51 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:53 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:55 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:57:58 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:58:00 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:58:02 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:58:04 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:58:06 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:58:08 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:58:10 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:58:12 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:58:14 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:58:16 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
4, [Insufficient Permissions], [N/A]
===== GPU COMPUTE APPS 2026-06-18 14:58:18 =====
pid, process_name, used_gpu_memory [MiB]
38224, C:\Users\linae\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
